epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8237,1.22064,3.55491,1.56761,0,0,0,0,1.71174,3.3083,2.45537,0.07624,0.00024,0.00024
2,83.811,1.26753,2.16891,1.62317,0,0,0,0,1.53923,2.99687,2.40329,0.0514851,0.000485149,0.000485149
3,125.54,1.24287,2.2793,1.56246,0.5,0.03846,0.25961,0.12981,1.56593,2.94573,2.17761,0.0267253,0.000725348,0.000725348
4,167.214,1.26336,2.25478,1.57143,0,0,0,0,1.75329,3.82622,2.56974,0.0019606,0.000960597,0.000960597
5,208.577,1.29064,2.29205,1.69062,0,0,0,0,1.63775,2.91988,2.38709,0.0009604,0.0009604,0.0009604
6,250.199,1.26708,2.33819,1.59564,0,0,0,0,1.19398,2.61204,1.8353,0.0009505,0.0009505,0.0009505
7,291.892,1.16156,2.1245,1.54589,0.44629,0.38462,0.3681,0.14378,1.39926,2.82516,2.06733,0.0009406,0.0009406,0.0009406
8,333.071,1.21001,2.08349,1.45301,0.47487,0.53846,0.47953,0.26499,1.15845,3.80659,1.83332,0.0009307,0.0009307,0.0009307
9,375.642,1.20133,2.04169,1.48456,0.25455,0.53846,0.28983,0.1611,1.3406,3.74218,2.04815,0.0009208,0.0009208,0.0009208
10,417.572,1.25552,1.98092,1.60976,0.35294,0.46154,0.31,0.18806,1.31129,2.81147,2.06421,0.0009109,0.0009109,0.0009109
11,460.146,1.26676,1.94501,1.55504,0.32131,0.53846,0.30605,0.13127,1.67503,4.14127,2.28711,0.000901,0.000901,0.000901
12,501.539,1.32751,2.02182,1.60378,0.40668,0.42308,0.31194,0.14428,1.46429,4.27298,2.19013,0.0008911,0.0008911,0.0008911
13,542.535,1.28917,1.87149,1.59675,0.43068,0.57692,0.47163,0.24416,1.24735,2.79023,1.85899,0.0008812,0.0008812,0.0008812
14,583.803,1.06841,1.8101,1.41754,0.43924,0.39189,0.36872,0.21798,1.15827,2.4031,1.91559,0.0008713,0.0008713,0.0008713
15,625.098,1.14666,1.68431,1.4626,0.3617,0.65385,0.46026,0.31232,1.17038,2.41108,1.97694,0.0008614,0.0008614,0.0008614
16,665.527,1.12857,1.78431,1.48247,0.38889,0.53846,0.42635,0.22637,1.35218,2.34639,1.96472,0.0008515,0.0008515,0.0008515
17,706.548,1.13055,1.66748,1.45259,0.47479,0.34776,0.43085,0.29412,1.22377,1.99985,1.80388,0.0008416,0.0008416,0.0008416
18,747.312,1.32399,1.93161,1.524,0.70071,0.19231,0.43238,0.27107,1.30031,2.10067,1.86495,0.0008317,0.0008317,0.0008317
19,789.706,1.20333,1.75034,1.48623,0.49652,0.53846,0.42928,0.1921,1.42933,2.70472,2.00279,0.0008218,0.0008218,0.0008218
20,830.712,1.14852,1.79665,1.4473,0.38383,0.53846,0.42632,0.2542,1.22848,2.53491,1.8659,0.0008119,0.0008119,0.0008119
21,869.725,1.13224,1.69411,1.46198,0.35897,0.53846,0.39388,0.2566,1.14422,2.25605,1.81676,0.000802,0.000802,0.000802
22,907.419,1.12154,1.72771,1.43819,0.42424,0.53846,0.41138,0.2765,1.10772,1.95188,1.69265,0.0007921,0.0007921,0.0007921
23,945.89,1.02849,1.66202,1.39177,0.36111,0.5,0.41473,0.28741,1.13014,2.07383,1.69987,0.0007822,0.0007822,0.0007822
24,983.736,1.12063,1.57689,1.44634,0.52969,0.5,0.49488,0.31242,1.25617,1.89832,1.6999,0.0007723,0.0007723,0.0007723
25,1020.95,1.1407,1.68869,1.48358,0.46548,0.5,0.46292,0.31035,1.29914,1.89869,1.8452,0.0007624,0.0007624,0.0007624
