epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.962,1.46799,2.06025,1.82191,0,0,0,0,2.29784,2.85814,3.54797,0.0679429,0.00032381,0.00032381
2,225.09,1.41897,1.70231,1.8177,0.51279,0.62977,0.5776,0.26296,1.43058,2.74235,2.01867,0.0349385,0.000652806,0.000652806
3,338.276,1.40736,1.68478,1.78443,0.54833,0.68852,0.58581,0.27171,1.5476,2.40506,2.07309,0.00192978,0.000977402,0.000977402
4,444.929,1.39293,1.68396,1.78768,0.31761,0.59016,0.32904,0.12971,1.69761,4.03212,2.10492,0.0009802,0.0009802,0.0009802
5,561.158,1.35018,1.57768,1.73828,0.62051,0.62295,0.6533,0.26869,1.81426,2.86637,2.4289,0.0009736,0.0009736,0.0009736
6,674.904,1.36783,1.5379,1.75991,0.60296,0.54098,0.49129,0.20228,1.90543,2.51594,2.5618,0.000967,0.000967,0.000967
7,785.456,1.37245,1.56069,1.72701,0.54879,0.57824,0.52025,0.17666,1.86729,2.03987,2.27755,0.0009604,0.0009604,0.0009604
8,895.833,1.36288,1.50293,1.73216,0.60358,0.67213,0.64454,0.28194,1.73742,1.77253,2.1136,0.0009538,0.0009538,0.0009538
9,1005.6,1.31976,1.49023,1.72073,0.64588,0.76246,0.71495,0.37076,1.58927,2.1321,1.91885,0.0009472,0.0009472,0.0009472
10,1115.64,1.3136,1.44374,1.6917,0.6277,0.84426,0.76726,0.42121,1.62425,1.45704,2.02402,0.0009406,0.0009406,0.0009406
11,1225.67,1.32096,1.38704,1.6898,0.63829,0.78108,0.75181,0.36503,1.84891,1.44624,2.14751,0.000934,0.000934,0.000934
12,1335.06,1.32411,1.40159,1.68237,0.63034,0.83861,0.77791,0.34632,1.92418,1.44539,2.23051,0.0009274,0.0009274,0.0009274
13,1446.64,1.31398,1.40872,1.68865,0.65847,0.67213,0.67718,0.29203,1.72464,1.60345,2.05286,0.0009208,0.0009208,0.0009208
14,1556.27,1.28013,1.37831,1.62982,0.73381,0.79087,0.8282,0.40055,1.50799,1.44288,1.84448,0.0009142,0.0009142,0.0009142
15,1666.36,1.28619,1.35102,1.66566,0.72244,0.83607,0.82946,0.45129,1.46627,1.31026,1.76875,0.0009076,0.0009076,0.0009076
